amc_name,scenario,revenue_yield,current_revenue_cr,revenue_y1_cr,revenue_y2_cr,revenue_y3_cr
360 ONE,Base Case,0.0075,98.9500,110.8240,124.1229,139.0176
360 ONE,Bear Case,0.0075,98.9500,104.8870,111.1802,117.8510
360 ONE,Bull Case,0.0075,98.9500,116.7610,137.7780,162.5780
Abakkus,Base Case,0.0075,23.4700,26.2864,29.4408,32.9737
Abakkus,Bear Case,0.0075,23.4700,24.8782,26.3709,27.9532
Abakkus,Bull Case,0.0075,23.4700,27.6946,32.6796,38.5620
Aditya Birla Sun Life,Base Case,0.0075,3268.9900,3661.2688,4100.6210,4592.6956
Aditya Birla Sun Life,Bear Case,0.0075,3268.9900,3465.1294,3673.0372,3893.4194
Aditya Birla Sun Life,Bull Case,0.0075,3268.9900,3857.4082,4551.7417,5371.0552
Angel One,Base Case,0.0075,3.1400,3.5168,3.9388,4.4114
Angel One,Bear Case,0.0075,3.1400,3.3284,3.5281,3.7398
Angel One,Bull Case,0.0075,3.1400,3.7052,4.3721,5.1591
Axis,Base Case,0.0075,2697.0100,3020.6512,3383.1293,3789.1048
Axis,Bear Case,0.0075,2697.0100,2858.8306,3030.3604,3212.1820
Axis,Bull Case,0.0075,2697.0100,3182.4718,3755.3167,4431.2737
Bajaj Finserv,Base Case,0.0075,229.7000,257.2640,288.1357,322.7119
Bajaj Finserv,Bear Case,0.0075,229.7000,243.4820,258.0909,273.5764
Bajaj Finserv,Bull Case,0.0075,229.7000,271.0460,319.8343,377.4044
Bandhan,Base Case,0.0075,1464.9400,1640.7328,1837.6207,2058.1352
Bandhan,Bear Case,0.0075,1464.9400,1552.8364,1646.0066,1744.7670
Bandhan,Bull Case,0.0075,1464.9400,1728.6292,2039.7825,2406.9433
Bank of India,Base Case,0.0075,106.2800,119.0336,133.3177,149.3158
Bank of India,Bear Case,0.0075,106.2800,112.6568,119.4162,126.5812
Bank of India,Bull Case,0.0075,106.2800,125.4104,147.9843,174.6215
Baroda BNP Paribas,Base Case,0.0075,409.5600,458.7072,513.7521,575.4024
Baroda BNP Paribas,Bear Case,0.0075,409.5600,434.1336,460.1816,487.7925
Baroda BNP Paribas,Bull Case,0.0075,409.5600,483.2808,570.2714,672.9202
Canara Robeco,Base Case,0.0075,881.1200,986.8544,1105.2769,1237.9101
Canara Robeco,Bear Case,0.0075,881.1200,933.9872,990.0264,1049.4280
Canara Robeco,Bull Case,0.0075,881.1200,1039.7216,1226.8715,1447.7083
Capitalmind,Base Case,0.0075,3.5400,3.9648,4.4406,4.9735
Capitalmind,Bear Case,0.0075,3.5400,3.7524,3.9776,4.2162
Capitalmind,Bull Case,0.0075,3.5400,4.1772,4.9291,5.8164
Choice,Base Case,0.0075,0.5200,0.5824,0.6523,0.7306
Choice,Bear Case,0.0075,0.5200,0.5512,0.5843,0.6194
Choice,Bull Case,0.0075,0.5200,0.6136,0.7241,0.8544
DSP,Base Case,0.0075,1690.5000,1893.3600,2120.5632,2375.0308
DSP,Bear Case,0.0075,1690.5000,1791.9300,1899.4458,2013.4125
DSP,Bull Case,0.0075,1690.5000,1994.7900,2353.8522,2777.5456
Edelweiss,Base Case,0.0075,1242.5300,1391.6336,1558.6296,1745.6652
Edelweiss,Bear Case,0.0075,1242.5300,1317.0818,1396.1067,1479.8731
Edelweiss,Bull Case,0.0075,1242.5300,1466.1854,1730.0987,2041.5165
Franklin Templeton,Base Case,0.0075,926.8100,1038.0272,1162.5904,1302.1013
Franklin Templeton,Bear Case,0.0075,926.8100,982.4186,1041.3637,1103.8455
Franklin Templeton,Bull Case,0.0075,926.8100,1093.6358,1290.4902,1522.7785
Groww,Base Case,0.0075,31.3600,35.1232,39.3380,44.0585
Groww,Bear Case,0.0075,31.3600,33.2416,35.2361,37.3503
Groww,Bull Case,0.0075,31.3600,37.0048,43.6657,51.5255
HDFC,Base Case,0.0075,6955.8800,7790.5856,8725.4559,9772.5106
HDFC,Bear Case,0.0075,6955.8800,7373.2328,7815.6268,8284.5644
HDFC,Bull Case,0.0075,6955.8800,8207.9384,9685.3673,11428.7334
HSBC,Base Case,0.0075,1020.4300,1142.8816,1280.0274,1433.6307
HSBC,Bear Case,0.0075,1020.4300,1081.6558,1146.5552,1215.3485
HSBC,Bull Case,0.0075,1020.4300,1204.1074,1420.8468,1676.5992
Helios,Base Case,0.0075,70.5000,78.9600,88.4352,99.0475
Helios,Bear Case,0.0075,70.5000,74.7300,79.2138,83.9667
Helios,Bull Case,0.0075,70.5000,83.1900,98.1642,115.8338
ICICI Prudential,Base Case,0.0075,8278.1300,9271.5056,10384.0863,11630.1766
ICICI Prudential,Bear Case,0.0075,8278.1300,8774.8178,9301.3069,9859.3853
ICICI Prudential,Bull Case,0.0075,8278.1300,9768.1934,11526.4682,13601.2325
IL&FS,Base Case,0.0075,6.8300,7.6496,8.5675,9.5956
IL&FS,Bear Case,0.0075,6.8300,7.2398,7.6741,8.1346
IL&FS,Bull Case,0.0075,6.8300,8.0594,9.5100,11.2219
ITI,Base Case,0.0075,81.1900,90.9328,101.8448,114.0661
ITI,Bear Case,0.0075,81.1900,86.0614,91.2251,96.6986
ITI,Bull Case,0.0075,81.1900,95.8042,113.0490,133.3978
Invesco,Base Case,0.0075,1054.8600,1181.4432,1323.2164,1482.0024
Invesco,Bear Case,0.0075,1054.8600,1118.1516,1185.2407,1256.3551
Invesco,Bull Case,0.0075,1054.8600,1244.7348,1468.7871,1733.1687
JM Financial,Base Case,0.0075,99.1400,111.0368,124.3612,139.2846
JM Financial,Bear Case,0.0075,99.1400,105.0884,111.3937,118.0773
JM Financial,Bull Case,0.0075,99.1400,116.9852,138.0426,162.8902
Jio BlackRock,Base Case,0.0075,125.3400,140.3808,157.2265,176.0937
Jio BlackRock,Bear Case,0.0075,125.3400,132.8604,140.8320,149.2820
Jio BlackRock,Bull Case,0.0075,125.3400,147.9012,174.5234,205.9377
Kotak Mahindra,Base Case,0.0075,4357.1300,4879.9856,5465.5839,6121.4539
Kotak Mahindra,Bear Case,0.0075,4357.1300,4618.5578,4895.6713,5189.4115
Kotak Mahindra,Bull Case,0.0075,4357.1300,5141.4134,6066.8678,7158.9040
LIC,Base Case,0.0075,348.4600,390.2752,437.1082,489.5612
LIC,Bear Case,0.0075,348.4600,369.3676,391.5297,415.0215
LIC,Bull Case,0.0075,348.4600,411.1828,485.1957,572.5310
Mahindra Manulife,Base Case,0.0075,248.4500,278.2640,311.6557,349.0544
Mahindra Manulife,Bear Case,0.0075,248.4500,263.3570,279.1584,295.9079
Mahindra Manulife,Bull Case,0.0075,248.4500,293.1710,345.9418,408.2113
Mirae Asset,Base Case,0.0075,1660.1600,1859.3792,2082.5047,2332.4053
Mirae Asset,Bear Case,0.0075,1660.1600,1759.7696,1865.3558,1977.2771
Mirae Asset,Bull Case,0.0075,1660.1600,1958.9888,2311.6068,2727.6960
Motilal Oswal,Base Case,0.0075,988.0600,1106.6272,1239.4224,1388.1531
Motilal Oswal,Bear Case,0.0075,988.0600,1047.3436,1110.1842,1176.7953
Motilal Oswal,Bull Case,0.0075,988.0600,1165.9108,1375.7747,1623.4142
NJ,Base Case,0.0075,52.2400,58.5088,65.5299,73.3935
NJ,Bear Case,0.0075,52.2400,55.3744,58.6969,62.2187
NJ,Bull Case,0.0075,52.2400,61.6432,72.7390,85.8320
Navi,Base Case,0.0075,67.5600,75.6672,84.7473,94.9170
Navi,Bear Case,0.0075,67.5600,71.6136,75.9105,80.4651
Navi,Bull Case,0.0075,67.5600,79.7208,94.0706,111.0033
Nippon India,Base Case,0.0075,5437.2400,6089.7088,6820.4738,7638.9307
Nippon India,Bear Case,0.0075,5437.2400,5763.4744,6109.2829,6475.8398
Nippon India,Bull Case,0.0075,5437.2400,6415.9432,7570.8130,8933.5593
Old Bridge,Base Case,0.0075,19.2500,21.5600,24.1472,27.0448
Old Bridge,Bear Case,0.0075,19.2500,20.4050,21.6293,22.9270
Old Bridge,Bull Case,0.0075,19.2500,22.7150,26.8037,31.6283
PGIM India,Base Case,0.0075,198.0100,221.7712,248.3837,278.1898
PGIM India,Bear Case,0.0075,198.0100,209.8906,222.4840,235.8330
PGIM India,Bull Case,0.0075,198.0100,233.6518,275.7091,325.3367
PPFAS,Base Case,0.0075,1142.4600,1279.5552,1433.1018,1605.0741
PPFAS,Bear Case,0.0075,1142.4600,1211.0076,1283.6681,1360.6882
PPFAS,Bull Case,0.0075,1142.4600,1348.1028,1590.7613,1877.0984
Quantum,Base Case,0.0075,24.2200,27.1264,30.3816,34.0273
Quantum,Bear Case,0.0075,24.2200,25.6732,27.2136,28.8464
Quantum,Bull Case,0.0075,24.2200,28.5796,33.7239,39.7942
SBI,Base Case,0.0075,9360.0200,10483.2224,11741.2091,13150.1541
SBI,Bear Case,0.0075,9360.0200,9921.6212,10516.9184,11147.9336
SBI,Bull Case,0.0075,9360.0200,11044.8236,13032.8918,15378.8123
Samco,Base Case,0.0075,18.9900,21.2688,23.8210,26.6796
Samco,Bear Case,0.0075,18.9900,20.1294,21.3372,22.6174
Samco,Bull Case,0.0075,18.9900,22.4082,26.4417,31.2012
Shriram,Base Case,0.0075,9.4200,10.5504,11.8165,13.2344
Shriram,Bear Case,0.0075,9.4200,9.9852,10.5843,11.2194
Shriram,Bull Case,0.0075,9.4200,11.1156,13.1164,15.4774
Sundaram,Base Case,0.0075,561.6200,629.0144,704.4961,789.0356
Sundaram,Bear Case,0.0075,561.6200,595.3172,631.0362,668.8984
Sundaram,Bull Case,0.0075,561.6200,662.7116,781.9997,922.7596
Tata,Base Case,0.0075,1706.3400,1911.1008,2140.4329,2397.2849
Tata,Bear Case,0.0075,1706.3400,1808.7204,1917.2437,2032.2783
Tata,Bull Case,0.0075,1706.3400,2013.4812,2375.9079,2803.5713
Taurus,Base Case,0.0075,7.3300,8.2096,9.1947,10.2981
Taurus,Bear Case,0.0075,7.3300,7.7698,8.2360,8.7301
Taurus,Bull Case,0.0075,7.3300,8.6494,10.2063,12.0434
The Wealth Company,Base Case,0.0075,10.5300,11.7936,13.2088,14.7939
The Wealth Company,Bear Case,0.0075,10.5300,11.1618,11.8315,12.5414
The Wealth Company,Bull Case,0.0075,10.5300,12.4254,14.6620,17.3011
Trust,Base Case,0.0075,31.9000,35.7280,40.0153,44.8172
Trust,Bear Case,0.0075,31.9000,33.8140,35.8428,37.9934
Trust,Bull Case,0.0075,31.9000,37.6420,44.4175,52.4127
UTI,Base Case,0.0075,2913.5200,3263.1424,3654.7195,4093.2859
UTI,Bear Case,0.0075,2913.5200,3088.3312,3273.6311,3470.0490
UTI,Bull Case,0.0075,2913.5200,3437.9536,4056.7853,4787.0066
Unifi,Base Case,0.0075,10.8000,12.0960,13.5475,15.1732
Unifi,Bear Case,0.0075,10.8000,11.4480,12.1349,12.8629
Unifi,Bull Case,0.0075,10.8000,12.7440,15.0379,17.7447
Union,Base Case,0.0075,196.4600,220.0352,246.4394,276.0121
Union,Bear Case,0.0075,196.4600,208.2476,220.7424,233.9870
Union,Bull Case,0.0075,196.4600,231.8228,273.5509,322.7900
WhiteOak Capital,Base Case,0.0075,247.6800,277.4016,310.6898,347.9726
WhiteOak Capital,Bear Case,0.0075,247.6800,262.5408,278.2933,294.9909
WhiteOak Capital,Bull Case,0.0075,247.6800,292.2624,344.8697,406.9462
Zerodha,Base Case,0.0075,103.4500,115.8640,129.7677,145.3398
Zerodha,Bear Case,0.0075,103.4500,109.6570,116.2364,123.2106
Zerodha,Bull Case,0.0075,103.4500,122.0710,144.0438,169.9716
quant,Base Case,0.0075,662.7200,742.2464,831.3160,931.0739
quant,Bear Case,0.0075,662.7200,702.4832,744.6322,789.3101
quant,Bull Case,0.0075,662.7200,782.0096,922.7713,1088.8702
